"id","title","parent_id","color","deleted_at","created_at","updated_at"
"8","Technical Doc",,"#fe2712",,"14/7/2024 17:57:04","14/7/2024 17:57:04"
"9","Suppliers (Air)","8","#fe9902",,"14/7/2024 17:57:23","11/10/2024 17:55:42"
"10","Payment gateway","8","#fccc1a",,"14/7/2024 17:57:43","5/9/2024 10:38:33"
"11","Security","8","#fe9902",,"14/7/2024 18:03:31","14/7/2024 18:03:31"
"12","OTP","11","#b2d732",,"14/7/2024 18:05:02","14/7/2024 18:05:02"
"13","Implementation","9","#fe9902","11/10/2024 18:10:16","18/7/2024 14:15:22","11/10/2024 18:10:16"
"14","AFS","10","#fccc1a",,"20/7/2024 14:11:26","5/9/2024 10:38:24"
"15","دستور العملها (SOPs)",,"#fe2712",,"24/7/2024 14:40:51","10/8/2024 18:54:18"
"16","دپارتمانها","15","#fe9902","10/8/2024 18:55:05","24/7/2024 14:41:51","10/8/2024 18:55:05"
"17","دپارتمانها","15","#fe9902",,"24/7/2024 14:42:26","10/8/2024 18:55:40"
"18","شرکت و همکاران","15","#fe9902",,"24/7/2024 14:42:53","15/8/2024 11:10:10"
"19","مشتریان","15","#fe9902",,"24/7/2024 14:43:08","10/8/2024 18:56:13"
"20","کیفیت محصول","15","#fe9902",,"24/7/2024 14:43:25","10/8/2024 18:56:30"
"21","Technical SOPs فنی","17","#fefe33",,"24/7/2024 14:43:57","10/8/2024 19:09:42"
"22","Operational SOPs ساپرت","17","#fefe33",,"24/7/2024 14:44:42","10/8/2024 19:09:56"
"23","Product SOPs محصول","17","#fefe33",,"24/7/2024 14:45:44","10/8/2024 19:10:05"
"24","Overview","16","#fefe33","10/8/2024 18:54:55","24/7/2024 14:46:00","10/8/2024 18:54:55"
"25","Sales SOPs فروش","17","#fefe33",,"10/8/2024 19:10:48","10/8/2024 19:10:48"
"26","صورتجلسات",,"#fe2712",,"10/8/2024 19:21:56","10/8/2024 19:21:56"
"27","کارگروههای فنی","26","#fefe33",,"10/8/2024 19:22:36","10/8/2024 19:22:36"
"28","تمام وقت حضوری","18","#fefe33",,"10/8/2024 19:25:49","10/8/2024 19:25:49"
