"id","product_id","price","zone_id","created_at","updated_at"
"800","52","1645","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"801","52","822","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"802","52","411","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"803","52","4500","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"804","53","15000","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"805","53","3000","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"806","53","1500","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"807","53","15000","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"808","54","1645","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"809","54","822","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"810","54","411","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"811","54","4500","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"812","55","1645","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"813","55","822","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"814","55","411","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"815","55","4500","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"816","56","1645","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"817","56","822","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"818","56","411","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"819","56","4500","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"828","67","1500","1","21/1/2024 12:35:07","21/1/2024 12:35:07"
"829","67","450","2","21/1/2024 12:35:07","21/1/2024 12:35:07"
"830","67","900","3","21/1/2024 12:35:07","21/1/2024 12:35:07"
"831","67","4500","4","21/1/2024 12:35:07","21/1/2024 12:35:07"
"968","22","30.3","1","24/1/2024 14:19:08","24/1/2024 14:19:08"
"969","22","15.15","3","24/1/2024 14:19:08","24/1/2024 14:19:08"
"970","22","10","2","24/1/2024 14:19:08","24/1/2024 14:19:08"
"971","22","30.3","4","24/1/2024 14:19:08","24/1/2024 14:19:08"
"1020","29","75.75","1","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1021","29","37.88","3","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1022","29","18.94","2","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1023","29","75.75","4","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1024","30","75.75","1","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1025","30","37.88","3","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1026","30","18.94","2","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1027","30","75.75","4","24/1/2024 14:22:02","24/1/2024 14:22:02"
"1036","50","111","1","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1037","50","111","3","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1038","50","111","2","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1039","50","111","4","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1040","51","27.78","1","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1041","51","27.78","2","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1042","51","27.78","3","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1043","51","27.78","4","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1044","65","352.7","1","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1045","65","352.7","2","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1046","65","352.7","3","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1047","65","352.7","4","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1048","66","138.8","1","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1049","66","138.8","2","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1050","66","138.8","3","26/1/2024 09:50:02","26/1/2024 09:50:02"
"1051","66","138.8","4","26/1/2024 09:50:02","26/1/2024 09:50:02"
"2180","12","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2181","12","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2182","12","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2183","12","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2184","13","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2185","13","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2186","13","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2187","13","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2188","14","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2189","14","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2190","14","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2191","14","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2192","15","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2193","15","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2194","15","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2195","15","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2196","16","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2197","16","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2198","16","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
