"id","title","description","category_id","code","barcode","author_id","last_version_update","version","thumbnail","video_script","created_at","updated_at","billing","payment","show_price","deleted_at","slug"
"1","{""en"":""Amadeus""}","{""en"":""<p>The Amadeus Global Distribution System (GDS) stands as a preeminent technology platform in the travel industry, revolutionizing how travel services are distributed and booked globally. This system plays a crucial role in seamlessly connecting travel agents, airlines, hotels, and various other service providers, ensuring efficient transactions and fluid exchange of information. As a leader in travel booking technology, Amadeus GDS is at the forefront of streamlining the travel booking process.<\/p><p>Key highlights of the Amadeus GDS includes:<\/p><ol><li><strong>Streamlined Booking Process<\/strong>: Amadeus GDS significantly simplifies the booking experience, offering a streamlined process that caters to the dynamic needs of the travel industry.<\/li><\/ol><p><strong>&nbsp;2. Comprehensive Interface for Travel Management<\/strong>: The system provides a robust, user-friendly interface, enabling agents to access and manage a wide array of travel products efficiently.<\/p><p><strong>3. Global Connectivity<\/strong>: As a global distribution system, it connects various stakeholders in the travel sector worldwide, fostering a network that enhances travel planning and execution.<\/p><p><strong>4. Efficient Transactions and Information Exchange<\/strong>: The platform is designed for high efficiency in transactions and offers ease in the exchange of critical travel information, contributing to smoother operations in the travel sector.<\/p><p><strong>5. Diverse Travel Product Management<\/strong>: Amadeus GDS excels in offering a diverse range of travel products, allowing for comprehensive travel planning and management.<\/p><p><strong>6. Beneficial to the Travel Sector<\/strong>: The system brings multiple benefits to all players in the travel industry, from increased accessibility to enhanced operational efficiency.<\/p>""}","10","100","19100","3","2023-11-23 10:21:26","1.0","uploads/product/1704379874/04.png",,"23/11/2023 10:21:26","29/12/2024 20:33:53",,,"1",,"amadeus"
"2","{""en"":""Sabre""}","{""en"":""<p>The Sabre Global Distribution System (GDS) is an integral technology platform in the travel industry, renowned for seamlessly connecting travel agents, airlines, hotels, and other service providers across the globe. This innovative system is designed to streamline the booking process, offering a comprehensive and user-friendly interface that allows for efficient access and management of a diverse range of travel services.<\/p><p>Key Features of Sabre GDS include:<\/p><p><strong>Global Connectivity<\/strong>: Sabre GDS excels in creating a vast network that links various stakeholders in the travel industry, facilitating global collaboration and transaction processing.<\/p><p><strong>Streamlined Booking Processes<\/strong>: The platform simplifies the booking process, making it more efficient for travel agents to manage reservations, thus enhancing productivity and customer service.<\/p><p><strong>Comprehensive Interface<\/strong>: Sabre provides a detailed and intuitive interface, enabling easy access to a wide array of travel products and services, catering to the diverse needs of travelers.<\/p><p><strong>Diverse Service Management<\/strong>: The system supports the management of a multitude of travel services, offering versatility and convenience in travel planning and management.<\/p><p><strong>Efficient Transaction Processing<\/strong>: Sabre GDS ensures smooth and efficient transaction processing, which is vital for the fast-paced travel industry.<\/p>""}","10","101","19101","3","2023-11-23 12:40:30","1.0","uploads/product/1704380423/05.png",,"23/11/2023 12:40:30","29/12/2024 20:33:53",,,"1",,"sabre"
"3","{""en"":""FlyBaghdad""}","{""en"":""<p>Fly Baghdad, an Iraqi airline, stands as a testament to modern and traditional travel preferences, adeptly catering to both tech-savvy customers and those who favor traditional booking methods, like cash payments and face-to-face interactions. This airline seamlessly blends convenience, comfort, and reliability with competitive pricing, truly embodying its slogan, \""Low Price\u2026 More Flights.\""<\/p><p>Key aspects of Fly Baghdad include:<\/p><p><strong>Versatile Booking Options<\/strong>: Fly Baghdad offers a dual approach to booking - utilizing cutting-edge technology for online reservations and providing options for traditional, in-person ticket purchases. This flexibility caters to the diverse preferences of passengers.<\/p><p><strong>Affordable and Frequent Services<\/strong>: True to its slogan, the airline emphasizes affordability without compromising on the frequency and quality of its flights, ensuring that more passengers can enjoy air travel.<\/p><p><strong>Revamped Management and Operations<\/strong>: The recent complete overhaul of its board and the establishment of a new board of directors signifies a fresh, forward-thinking operational plan focused primarily on passenger benefits.<\/p><p><strong>Commitment to Passenger Benefits<\/strong>: With the new operational strategy, Fly Baghdad places passenger needs and benefits at the forefront, aiming to enhance overall customer satisfaction.<\/p><p><strong>Balancing Tradition and Technology<\/strong>: The airline uniquely balances the charm of traditional booking methods with the efficiency and speed of modern technology, offering a comprehensive and satisfying experience to all passengers.<\/p><p><strong>Targeting Diverse Travel Needs<\/strong>: Fly Baghdad is dedicated to meeting the varied requirements of its passengers, whether it's a need for cost-effectiveness, comfort, convenience, or reliability in their travel plans.<\/p><p>In essence, Fly Baghdad is a dynamic player in the aviation industry, uniquely positioned to serve the evolving needs of modern travelers while staying true to traditional values. Its commitment to low prices, more flights, and passenger-centric services make it a preferred choice for travelers seeking a reliable, affordable, and comfortable flying experience.<\/p>""}","11","102","19102","3","2023-11-23 12:54:46","1.0","uploads/product/1704380694/06.png",,"23/11/2023 12:54:46","29/12/2024 20:33:53",,,"1",,"flybaghdad"
"4","{""en"":""Air Arabia""}","{""en"":""<p>Air Arabia, renowned as the first and largest Low Cost Carrier (LCC) in the Middle East and North Africa, revolutionizes affordable air travel in the region. Boasting an expansive network, Air Arabia connects passengers to over 170 destinations across the Middle East, North Africa, Asia, and Europe. This airline is a symbol of comfort, reliability, and exceptional value for money, making air travel accessible to a broader audience.<\/p><p>Key features of Air Arabia include:<\/p><p><strong>Pioneer in Low Cost Air Travel<\/strong>: As the first and largest LCC in the Middle East and North Africa, Air Arabia has set a precedent in making air travel more affordable and accessible in the region.<\/p><p><strong>Extensive Network of Destinations<\/strong>: With flights to more than 170 destinations across various continents, Air Arabia ensures that travelers have a wide range of choices for their journeys.<\/p><p><strong>Focus on Comfort and Reliability<\/strong>: Despite being a low-cost carrier, Air Arabia does not compromise on the comfort and reliability of its services, ensuring a pleasant travel experience for all passengers.<\/p><p><strong>Value for Money<\/strong>: The airline is committed to providing value for money, making it an attractive option for budget-conscious travelers without sacrificing quality.<\/p><p><strong>Innovative \""Where Next\"" Proposition<\/strong>: Air Arabia's unique value proposition, \""Where Next,\"" encourages travelers to explore more destinations more frequently, offering convenience and flexibility in travel plans.<\/p><p><strong>Catering to Diverse Travel Needs<\/strong>: Whether it's a business trip, a family vacation, or a solo adventure, Air Arabia's extensive network and affordable pricing make it a go-to choice for various travel needs.<\/p><p><strong>Expanding Global Reach<\/strong>: The airline's growing network reflects its commitment to expanding its reach, allowing more travelers to explore new destinations easily and affordably.<\/p><p>In summary, Air Arabia stands out as a leading low-cost carrier in the Middle East and North Africa, dedicated to expanding the horizons of affordable travel. Its extensive network, focus on customer comfort and reliability, and commitment to value for money make it an excellent choice for travelers seeking convenient and cost-effective air travel options.<\/p>""}","11","103","19103","3","2023-11-23 12:55:23","1.0","uploads/product/1704379396/02.png",,"23/11/2023 12:55:23","29/12/2024 20:33:53",,,"1",,"air-arabia"
"5","{""en"":""Cham Wings Airlines""}","{""en"":""<p>Cham Wings Airlines, a trailblazer in Syrian aviation, made its mark as the country's first private airline company when it was established in late 2007. This venture, rooted in national capital, is a proud part of the Shammout group's commercial enterprises. The airline's inception was a direct result of Syria's economic liberalization and the government's new policies at the time, aimed at encouraging private sector participation in the burgeoning air transport industry. These policies recognized the increasing demand in the travel market and sought to meet it through innovative solutions.<\/p><p>Key aspects of Cham Wings Airlines include:<\/p><p><strong>Pioneering Syrian Private Airline<\/strong>: Cham Wings Airlines stands out as the first of its kind in the Syrian private sector, paving the way for a new era in the country's aviation industry.<\/p><p><strong>Part of Shammout Group Companies<\/strong>: As a member of the established Shammout group, the airline benefits from strong commercial backing and expertise.<\/p><p><strong>Response to Economic Openness<\/strong>: Its establishment was a strategic response to the Syrian government's economic openness and supportive laws, encouraging private sector investment in air transportation.<\/p><p><strong>Certified by Syrian Civil Aviation Authority<\/strong>: The airline received its air operator's certificate from the Syrian Civil Aviation Authority on September 23, 2007, a crucial step in starting its operations and executing its strategic goals.<\/p><p><strong>Commitment to Adding Value<\/strong>: Cham Wings Airlines is committed to adding significant value to the air transport field in Syria, enhancing the overall quality and efficiency of air travel within the country.<\/p><p><strong>Strategy Focused on Market Needs<\/strong>: The airline's strategy is attuned to the growing necessities of the Syrian travel market, aiming to cater to the evolving needs of travelers.<\/p><p><strong>Contributing to National Growth<\/strong>: As a national venture, Cham Wings Airlines plays a key role in the growth and development of the Syrian aviation sector, contributing positively to the economy.<\/p><p>In essence, Cham Wings Airlines represents a significant step forward in Syrian aviation, reflecting a blend of national pride and strategic foresight. With its strong foundation and commitment to enhancing air transport in Syria, the airline is poised to meet the dynamic needs of the travel market and contribute to the country's ongoing economic development.<\/p>""}","11","104","19104","3","2023-11-23 12:55:49","1.0","uploads/product/1704379714/03.png",,"23/11/2023 12:55:49","29/12/2024 20:33:53",,,"1",,"cham-wings-airlines"
"6","{""en"":""Parto CRS""}","{""en"":""<p>Parto CRS emerges as a transformative B2B online wholesaler in the travel industry, dedicated to empowering travel businesses worldwide. With a focus on offering innovative travel technology solutions, Parto CRS caters to a diverse range of clients including Tour Operators, Travel Agents, Online Travel Agents, Corporates, Hotels, and Travel Management Companies.<\/p><p>Key aspects of Parto CRS include:<\/p><p><strong>Comprehensive Travel Technology Solutions<\/strong>: Parto CRS specializes in providing cutting-edge technology solutions tailored to the dynamic needs of the travel industry, enhancing operational efficiency and customer satisfaction.<\/p><p><strong>Intelligent Airfare Consolidation &amp; Ticketing<\/strong>: The platform stands out with its intelligent airfare consolidation and ticketing fulfillment capabilities, offering an extensive range of bookable and ticket-able content.<\/p><p><strong>Integration with Major GDS Platforms<\/strong>: Parto CRS integrates seamlessly with major Global Distribution Systems (GDS) like Sabre, Galileo, and Amadeus, ensuring access to a wide spectrum of travel options.<\/p><p><strong>Access to Over 180 Low-Cost Carriers<\/strong>: The platform offers unmatched connectivity with more than 180 low-cost carriers, providing comprehensive air content to users worldwide.<\/p><p><strong>Global Distributor of Accommodation and Ancillary Products<\/strong>: Parto CRS is a global distributor, offering an extensive range of accommodation and ancillary products to the world's travel trade.<\/p><p><strong>Focus on Partner Business Growth<\/strong>: The company is committed to driving business growth for its partners while simultaneously simplifying the customer experience at all touchpoints.<\/p><p><strong>Global Reach and Impact<\/strong>: With its global reach, Parto CRS significantly impacts the travel industry, offering diverse and complete travel solutions to businesses across the globe.<\/p><p>In summary, Parto CRS is a key player in the global travel industry, known for its comprehensive and innovative travel technology solutions. The company's focus on intelligent airfare consolidation, integration with major GDS platforms, and its role as a distributor of diverse travel products positions it as a crucial resource for enhancing the efficiency and reach of travel businesses worldwide.<\/p>""}","34","105","19105","3","2023-11-23 12:56:10","1.0","uploads/product/1704446193/15-1 copy 2.png",,"23/11/2023 12:56:10","29/12/2024 20:33:53",,,"1",,"parto-crs"
"7","{""en"":""Meraj Airline""}","{""en"":""<p>Meraj Airlines, established in 2009, is a distinguished player in the aviation industry, adhering to the rigorous standards of the Civil Aviation Organization. With a customer-centric approach, the airline has embarked on its journey, delivering services with a blend of high technical and operational standards.<\/p><p>Key highlights of Meraj Airlines include:<\/p><p><strong>Commitment to High Standards<\/strong>: Founded with a focus on the standards set by the Civil Aviation Organization, Meraj Airlines ensures top-notch service quality and safety in all operations.<\/p><p><strong>Expertise and Experience<\/strong>: Leveraging the extensive experience of its management and staff, the airline has crafted a unique service ethos that emphasizes customer respect and exceptional service delivery.<\/p><p><strong>Modern and Young Fleet<\/strong>: One of the standout features of Meraj Airlines is its modern fleet, characterized by a young average age. This not only ensures reliability and efficiency but also aligns with the latest aviation advancements.<\/p><p><strong>Skilled and Youthful Personnel<\/strong>: The airline prides itself on having a team of young, yet experienced, personnel, dedicated to earning and maintaining the trust of its esteemed customers.<\/p><p><strong>Expansive Network<\/strong>: Meraj Airlines operates across a broad network, with active stations in numerous domestic cities in addition to international destinations like Bulgaria, Russia, Turkey, Iraq, Kuwait, and the UAE, catering to a diverse passenger base.<\/p><p><strong>Focus on Customer Service<\/strong>: At the heart of its operations is a new paradigm in customer service, wherein respect for customers and their needs is paramount.<\/p><p><strong>Wide Range of Services<\/strong>: The airline offers a comprehensive range of services, meeting the needs of passengers and ensuring a comfortable and pleasant travel experience.<\/p><p>In essence, Meraj Airlines represents a blend of modernity, expertise, and customer-focused service in the aviation sector. With its modern fleet, skilled personnel, and extensive network, the airline is dedicated to providing high-quality travel experiences, both domestically and internationally.<br>&nbsp;<\/p>""}","11","106","19106","3","2023-11-23 12:56:35","1.0","uploads/product/1704379125/1.png",,"23/11/2023 12:56:35","29/12/2024 20:33:53",,,"1",,"meraj-airline"
"8","{""en"":""Sepehr Systems ""}","{""en"":""<p>SepehrSayehBan, formerly known as 'Sepehr System', established in 2007, has evolved into a pioneering force in the tourism industry under its new brand, 'Sepehr'. Embracing the most advanced technology, the company has become synonymous with innovation, especially noted for its Sepehr Reservation Services application and the comprehensive airfare search capabilities of Sepehr360.com. Sepehr's commitment to enhancing service speed and quality is deeply rooted in customer feedback and a keen understanding of market dynamics.<\/p><p>The organizational culture at SepehrSayehBan is distinguished by its transparency and equality. From strategic policies to staff remuneration methods, everything is clear and open. Despite economic challenges, the company has maintained a remarkable record of timely financial transactions. A unique aspect of Sepehr's culture is its performance-based evaluation system, where individual contributions are valued over hierarchical status, fostering a sense of fairness and inclusivity.<\/p><p>Investment in the company's growth and development is a priority, with even managerial staff prioritizing company needs over personal financial gains. This approach underlines Sepehr's dedication to long-term success and market leadership. Incorporating keywords such as 'innovative tourism technology', 'Sepehr reservation services', 'customer-focused development', and 'transparent organizational culture', this description is crafted to boost SepehrSayehBan's online presence, showcasing its commitment to advancing the tourism sector through technological excellence and a forward-thinking corporate ethos.<\/p>""}","36","107","19107","3","2023-11-23 12:57:51","1.0","uploads/product/1704443464/17 copy.png",,"23/11/2023 12:57:51","29/12/2024 20:33:53",,,"1",,"sepehr-systems-"
"9","{""en"":""TBO Holidays""}","{""en"":""<p>tboholidays.com is a leading B2A travel portal, revolutionizing the way travel agents book accommodations. With access to over 700,000 hotels worldwide, our portal offers unparalleled real-time booking capabilities. At the heart of our service is cutting-edge technology, ensuring a seamless and efficient booking experience for travel professionals. Our extensive hotel network caters to a diverse range of preferences and budgets, making us the go-to platform for all holiday booking requirements.<\/p><p>Our commitment to superior customer support sets us apart in the travel industry. We understand the importance of reliable and responsive service, especially in the fast-paced world of travel. This dedication to excellence makes tboholidays.com not just a platform but a trusted partner for travel agents.<\/p><p>With tboholidays.com, agents can expect a user-friendly interface, streamlined booking processes, and real-time access to a vast array of hotel options. Keywords such as 'B2A travel portal', 'real-time hotel bookings', 'extensive hotel network', 'advanced travel technology', and 'exceptional customer support' are integral to our service, ensuring that we rank highly in search engines and remain at the forefront of travel professionals' minds. Choose tboholidays.com for a reliable, comprehensive, and efficient travel booking experience.<\/p>""}","35","108","20108","3","2023-11-23 12:58:28","1.0","uploads/product/1704441919/13 copy.png",,"23/11/2023 12:58:28","29/12/2024 20:33:53",,,"1",,"tbo-holidays"
"11","{""en"":""Eghamat 24""}","{""en"":""<p>Welcome to 'Eghamat 24', Iran's premier and only official hotel reservation center, recognized and approved by the Organization of Cultural Heritage, Handicrafts, and Tourism. Since our inception in 2005, we have been at the forefront of providing streamlined and efficient accommodation services for tourists. As a pioneer in the industry, our center offers a vast array of lodging options, including luxurious hotels, cozy apartment hotels, and homely guest houses, catering to all preferences and budgets.<\/p><p>Our website stands as the most visited online hotel reservation portal in Iran, offering over 1200 hotel options, ensuring that every traveler finds their ideal stay. We are dedicated to making your travel planning effortless with our user-friendly platform, where you can reserve your accommodation before embarking on your journey, aligning with our motto, 'reserve a place to stay before traveling'.<\/p><p>For those seeking personalized assistance, our exclusive five-digit line 1685 is always ready to help you choose the perfect place to stay and provide additional information about your desired accommodation. By incorporating keywords like 'official hotel reservation center', 'Iranian tourism', 'online accommodation booking', 'diverse lodging options', and 'trusted hotel reservation services', we aim to enhance our online presence, making it easier for travelers to discover and utilize our comprehensive services.<\/p><p>Choose 'Eghamat 24' for a seamless and reliable hotel booking experience in Iran, where tradition meets innovation in the realm of tourism and accommodation.<\/p>""}","35","110","20110","3","2023-11-23 13:41:08","1.0","uploads/product/1704442584/14 copy.png",,"23/11/2023 13:41:08","29/12/2024 20:33:53",,,"1",,"eghamat-24"
