"id","title","code","crm_subject_id","agency_id","departemant_id","is_closed","created_at","updated_at","lastupdatemessage","subject_id"
"1","برای درگاههای پرداخت سرویس شارژ اضافه شود.","10000","1","1","2","1","30/11/2023 10:26:42","14/9/2025 14:59:14","14/9/2025 14:59:14","0"
"2","پیاده سازی سرویس پروازی akbar travel","10001","1","1","2","1","30/11/2023 13:42:37","3/9/2024 10:51:42","3/9/2024 10:51:42","0"
"3","پیادده سازی ساپلایر الهند","10002","1","1","2","1","30/11/2023 13:47:16","23/11/2024 10:43:29","23/11/2024 10:43:29","0"
"4","فیچرهای امنیتی سایت","10003","1","1","2","3","30/11/2023 13:52:44","2/11/2024 12:31:40","12/1/2024 16:21:43","0"
"5","دیزاین سایت travelergate.ae مشابه Fly4all شود","10004","1","1","2","1","30/11/2023 17:22:23","16/12/2023 20:17:04","16/12/2023 20:16:51","0"
"6","دسترسی درگاههای پرداخت در 3 سطح ایجاد شود","10005","1","1","2","1","30/11/2023 19:45:15","28/11/2024 22:19:44","28/11/2024 22:19:44","0"
"7","test title","10006","1","5","2","1","30/11/2023 20:52:25","16/12/2023 20:36:25",,"0"
"8","test","10007","1","1","2","1","1/12/2023 13:43:08","5/12/2023 07:33:34",,"0"
"9","کنسلی تک مسافر و استاتوس تمام بوک","10008","1","2","2","1","1/12/2023 14:05:09","17/12/2023 08:20:59",,"0"
"10","تکمیل لیست product","10009","1","2","2","1","1/12/2023 14:39:40","1/2/2024 09:13:02","1/2/2024 09:13:02","0"
"11","اضافه کردن فرم ثبت نام b2b","10010","1","1","2","3","2/12/2023 13:07:01","13/1/2024 16:09:45","12/1/2024 16:17:40","0"
"12","جدا کردن امکان انتقال بین 2 والت","10011","1","1","2","1","3/12/2023 20:40:43","24/12/2023 08:24:04","23/12/2023 14:00:26","0"
"13","پیش فرض محدودیت روزانه برای شارژ اکانت ثبت شود","10012","1","1","2","1","3/12/2023 20:42:37","24/12/2023 08:13:17","16/12/2023 20:17:48","0"
"14","اصلاح فاصله  دکمه ها در ورژن عربی سایت","10013","1","1","2","1","3/12/2023 20:45:25","24/12/2023 08:13:21","16/12/2023 20:18:00","0"
"15","خروجی TBO نشان داده نمیشود","10014","1","1","2","1","3/12/2023 20:47:47","24/12/2023 08:07:03","23/12/2023 14:05:13","0"
"16","کند بودن پاسخگویی ساپلایرهای هتلی","10015","1","1","2","1","3/12/2023 20:49:59","1/2/2024 08:49:31","1/2/2024 08:49:31","0"
"17","API Versioning Enhancement","10016","1","1","2","1","6/12/2023 15:30:05","24/12/2023 08:13:59","16/12/2023 20:18:41","0"
"18","بررسی بیشتر در خصوص موارد استفاده هوش مصنوعی در پروژه","10017","1","1","2","1","6/12/2023 15:31:47","24/12/2023 08:14:06","16/12/2023 20:19:24","0"
"19","aa","10018","1","1","2","1","7/12/2023 19:16:57","20/12/2023 12:23:44","20/12/2023 12:23:44","0"
"20","ساخت صفحات استاتیک برای مسیرهای پرتردد","10019","1","1","2","1","8/12/2023 10:08:09","24/12/2023 08:14:15","16/12/2023 20:19:55","0"
"21","سرویس Charter planer چند کارنسی شود","10020","1","1","2","1","8/12/2023 10:36:07","24/12/2023 08:07:41","23/12/2023 14:04:28","0"
"22","اضافه شدن powered by در زیر همه سایتها","10021","1","1","2","1","10/12/2023 19:45:28","24/12/2023 08:21:21","23/12/2023 13:57:44","0"
"23","بالا اوردن سایت wideline امریکا","10022","1","1","2","1","14/12/2023 12:42:59","18/1/2024 17:32:42","18/1/2024 17:32:42","0"
"24","وقتی api out با کارنسی غلطی ثبت میشود خطای عدم تطابق کارنسی داده شود","10023","1","1","2","1","15/12/2023 18:51:10","24/12/2023 08:08:06","15/12/2023 18:51:10","0"
"25","باگ: کپچا پس از یکبار لاگ این غلط لود نمی شود","10024","1","1","2","1","16/12/2023 14:39:28","24/12/2023 08:08:17","16/12/2023 14:39:28","0"
"26","روی پنل لاگ این مارکت پلیس ایکون چشم برای مشاهده پسورد اضافه شود","10025","1","1","1","1","16/12/2023 14:42:12","24/12/2023 08:11:28","16/12/2023 16:03:55","0"
"27","اصلاح لیست اینونتوری ایرلاینها","10026","1","1","1","1","16/12/2023 20:07:54","24/12/2023 08:13:06","16/12/2023 20:15:03","0"
"28","باگ: مبدا و مقصد از 2 سرویس api خوانده نمی شود","10027","1","1","2","1","16/12/2023 20:14:31","23/11/2024 10:50:15","23/11/2024 10:50:15","0"
"29","Bug - Transaction m-issue considered as failed","10028","1","1","2","1","18/12/2023 21:10:20","24/12/2023 08:20:44","23/12/2023 13:55:05","0"
"30","Sabre- Retrieve a PNR ","10029","1","188","2","3","20/12/2023 19:11:48","27/3/2024 08:24:55","27/3/2024 08:24:51","0"
"31","Sabre- MultiCity Search","10030","1","188","2","1","20/12/2023 19:19:05","16/8/2025 15:24:03","16/8/2025 15:24:03","0"
"32","Sabre- Branded Fare ","10031","1","188","2","1","20/12/2023 19:24:13","16/8/2025 15:24:32","16/8/2025 15:24:32","0"
"33","Sabre- Req > Class available-Error","10032","1","188","2","1","20/12/2023 19:47:00","16/8/2025 15:24:48","16/8/2025 15:24:48","0"
"34","مشکل کندی تامین هتل در زنجیره سوم","10033","1","1","2","1","21/12/2023 16:32:03","24/12/2023 08:20:39","23/12/2023 13:54:50","0"
"35","بخش api out بهینه شود برای پیاده سازی های جدید","10034","1","1","2","1","21/12/2023 16:42:19","24/12/2023 08:20:35","23/12/2023 13:54:36","0"
"36","تست سی ار ام","10035","1","1","2","1","25/12/2023 14:31:58","27/12/2023 16:00:38","25/12/2023 14:31:58","0"
"37","تکمیل Postman برای api out","10036","1","1","2","1","25/12/2023 16:29:34","27/12/2023 15:24:19","25/12/2023 16:29:34","0"
"38","پیاده سازی سرویس Report Engine","10037","1","1","2","1","25/12/2023 17:11:52","27/12/2023 15:24:30","25/12/2023 17:11:52","0"
"39","پیاده سازی درگاه tap payments ","10038","1","2","2","1","27/12/2023 08:52:23","27/12/2023 08:52:32","27/12/2023 08:52:23","0"
"40","User experience enhancement","10039","1","61","2","1","27/12/2023 11:27:53","11/1/2024 16:13:46","27/12/2023 11:27:53","0"
"41","بالا اوردن یک نود تست برای اماده سازی کانفیگ اولیه یک سایت","10040","1","1","2","1","27/12/2023 16:04:54","23/3/2024 17:11:28","23/3/2024 17:11:28","0"
"42","Portal search error no response ","10041","1","61","2","1","28/12/2023 09:01:25","11/1/2024 16:12:24","28/12/2023 09:01:25","0"
"43","Company Address Missing","10042","1","10","2","1","28/12/2023 11:08:26","11/1/2024 08:13:44","28/12/2023 11:08:26","0"
"44","Addition option from same page","10043","1","61","2","1","29/12/2023 09:43:45","11/1/2024 16:09:59","29/12/2023 09:43:45","0"
"45","فراموشی پسورد ایمیل ارسال نمی گردد","10044","1","126","2","1","29/12/2023 17:57:20","14/1/2024 18:39:01","29/12/2023 17:57:20","0"
"46","خطا در قسمت دیسکریپشن","10045","1","126","2","1","29/12/2023 17:59:53","11/1/2024 15:56:22","29/12/2023 17:59:53","0"
"47","اینک وب سایت در فوتر ","10046","1","126","2","1","29/12/2023 18:04:52","1/2/2024 09:06:33","1/2/2024 09:06:33","0"
"48","travelergate.ae مربوط به سایت UI","10047","1","126","1","1","30/12/2023 10:40:37","14/9/2025 15:01:06","14/9/2025 15:01:06","0"
"49","Search min Characters removal ","10048","1","61","2","1","30/12/2023 11:01:56","1/10/2024 13:26:49","1/10/2024 13:26:49","0"
"50","Languages in VISA filling form ","10049","1","61","2","1","30/12/2023 11:28:14","11/1/2024 15:18:38","30/12/2023 11:28:14","0"
"51","عکس راهنمای UI Config","10050","1","1","2","1","2/1/2024 12:05:36","11/1/2024 15:13:48","2/1/2024 12:05:36","0"
"52","حذف فیلدهای اجباری از company setting ","10051","1","1","2","1","2/1/2024 12:06:51","11/1/2024 15:12:02","2/1/2024 12:06:51","0"
